date,avg
2013-06-16,145.0
2013-06-17,145.0
2013-06-18,145.0
2013-06-19,145.0
2013-06-20,145.0
2013-06-21,135.0
2013-06-25,145.0
2013-06-26,135.0
2013-06-27,135.0
2013-06-28,135.0
2013-06-30,135.0
2013-07-01,145.0
2013-07-02,155.0
2013-07-03,155.0
2013-07-04,155.0
2013-07-05,155.0
2013-07-09,155.0
2013-07-10,155.0
2013-07-11,155.0
2013-07-12,165.0
2013-07-14,165.0
2013-07-15,165.0
2013-07-16,155.0
2013-07-17,175.0
2013-07-18,165.0
2013-07-19,165.0
2013-07-21,175.0
2013-07-22,175.0
2013-07-23,175.0
2013-07-24,175.0
2013-07-25,175.0
2013-07-26,175.0
2013-07-28,175.0
2013-07-29,175.0
2013-07-30,175.0
2013-07-31,175.0
2013-08-01,175.0
2013-08-02,175.0
2013-08-04,175.0
2013-08-05,165.0
2013-08-06,165.0
2013-08-07,155.0
2013-08-08,145.0
2013-08-13,152.5
2013-08-14,155.0
2013-08-15,155.0
2013-08-16,155.0
2013-08-18,155.0
2013-08-19,155.0
2013-08-20,185.0
2013-08-23,185.0
2013-08-25,175.0
2013-08-26,175.0
2013-08-27,155.0
2013-08-29,155.0
2013-08-30,155.0
2013-09-01,145.0
2013-09-02,145.0
2013-09-03,145.0
2013-09-04,125.0
2013-09-05,125.0
2013-09-06,125.0
2013-09-08,125.0
2013-09-09,145.0
2013-09-10,145.0
2013-09-11,145.0
2013-09-12,145.0
2013-09-13,145.0
2013-09-15,110.0
2013-09-16,115.0
2013-09-17,115.0
2013-09-19,115.0
2013-09-20,115.0
2013-09-22,105.0
2013-09-23,95.0
2013-09-24,95.0
2013-09-25,95.0
2013-09-26,95.0
2013-09-27,95.0
2013-09-29,95.0
2013-09-30,95.0
2013-10-01,95.0
2013-10-02,95.0
2013-10-03,105.0
2013-10-04,95.0
2013-10-06,110.0
2013-10-07,115.0
2013-10-08,115.0
2013-10-09,115.0
2013-10-10,95.0
2013-10-11,115.0
2013-10-12,145.0
2013-10-13,145.0
2013-10-14,145.0
2013-10-15,145.0
2013-10-16,135.0
2013-10-17,155.0
2013-10-20,145.0
2013-10-21,145.0
2013-10-22,145.0
2013-10-23,145.0
2013-10-24,145.0
2013-10-25,115.0
2013-10-27,115.0
2013-10-28,110.0
2013-10-29,115.0
2013-10-30,115.0
2013-10-31,105.0
2013-11-01,105.0
2013-11-03,105.0
2013-11-04,95.0
2013-11-05,105.0
2013-11-06,105.0
2013-11-07,105.0
2013-11-10,110.0
