date,avg
2013-06-16,29.0
2013-06-17,29.5
2013-06-18,34.0
2013-06-19,34.5
2013-06-20,35.5
2013-06-21,34.5
2013-06-25,34.0
2013-06-26,34.0
2013-06-27,36.0
2013-06-28,37.0
2013-06-30,37.0
2013-07-01,37.5
2013-07-02,39.0
2013-07-03,41.0
2013-07-04,41.0
2013-07-05,41.0
2013-07-09,45.0
2013-07-10,46.0
2013-07-11,45.0
2013-07-12,45.0
2013-07-14,45.0
2013-07-15,45.0
2013-07-16,47.0
2013-07-17,49.0
2013-07-18,53.5
2013-07-19,51.5
2013-07-21,51.5
2013-07-22,51.0
2013-07-23,51.0
2013-07-24,51.0
2013-07-25,50.5
2013-07-26,50.5
2013-07-28,50.5
2013-07-29,51.0
2013-07-30,51.0
2013-07-31,51.0
2013-08-01,52.0
2013-08-02,52.0
2013-08-04,57.0
2013-08-05,59.0
2013-08-06,61.0
2013-08-07,61.0
2013-08-08,61.0
2013-08-12,81.0
2013-08-13,89.0
2013-08-14,90.0
2013-08-15,89.0
2013-08-16,87.5
2013-08-18,82.5
2013-08-19,82.5
2013-08-20,81.0
2013-08-23,77.5
2013-08-25,77.5
2013-08-26,77.5
2013-08-27,77.5
2013-08-29,81.0
2013-08-30,77.5
2013-09-01,77.5
2013-09-02,79.0
2013-09-03,80.0
2013-09-04,77.5
2013-09-05,82.5
2013-09-06,82.5
2013-09-08,79.0
2013-09-09,81.0
2013-09-10,81.0
2013-09-11,82.5
2013-09-12,87.5
2013-09-13,87.5
2013-09-15,97.5
2013-09-16,96.0
2013-09-17,102.5
2013-09-19,102.5
2013-09-20,102.5
2013-09-22,102.5
2013-09-23,102.5
2013-09-24,97.5
2013-09-25,97.5
2013-09-26,97.5
2013-09-27,92.5
2013-09-29,92.5
2013-09-30,92.5
2013-10-01,92.5
2013-10-02,92.5
2013-10-03,97.5
2013-10-04,92.5
2013-10-06,90.0
2013-10-07,87.5
2013-10-08,87.5
2013-10-09,92.5
2013-10-10,94.0
2013-10-11,97.5
2013-10-12,95.0
2013-10-13,92.5
2013-10-14,97.5
2013-10-15,97.5
2013-10-16,97.5
2013-10-17,97.5
2013-10-20,105.0
2013-10-21,107.5
2013-10-22,107.5
2013-10-23,112.5
2013-10-24,117.5
2013-10-25,122.5
2013-10-27,115.0
2013-10-28,102.5
2013-10-29,102.5
2013-10-30,90.0
2013-10-31,92.5
2013-11-01,102.5
2013-11-03,97.5
2013-11-04,95.0
2013-11-05,95.0
2013-11-06,95.0
2013-11-07,95.0
2013-11-10,105.0
2013-11-11,105.0
2013-11-12,105.0
2013-11-13,105.0
2013-11-14,108.5
2013-11-15,106.5
2013-11-16,106.5
2013-11-17,102.5
2013-11-18,102.5
2013-11-20,85.0
2013-11-21,82.5
2013-11-22,77.5
2013-11-24,67.5
2013-11-25,67.5
2013-11-26,63.5
2013-11-27,62.5
2013-11-28,59.0
2013-11-29,59.0
2013-12-01,57.5
2013-12-02,47.5
2013-12-03,47.5
2013-12-04,47.5
2013-12-05,47.5
2013-12-06,47.5
2013-12-08,47.5
2013-12-09,47.5
2013-12-10,49.0
2013-12-11,49.0
2013-12-12,49.0
2013-12-13,49.0
2013-12-15,43.5
2013-12-16,41.0
2013-12-18,39.0
2013-12-19,38.5
2013-12-20,38.5
2013-12-22,36.0
2013-12-23,35.0
2013-12-24,35.0
2013-12-26,32.0
2013-12-27,32.0
2013-12-29,32.0
2013-12-31,33.5
2014-01-01,35.5
2014-01-02,34.5
2014-01-03,35.0
2014-01-05,34.5
2014-01-06,34.5
2014-01-07,33.5
2014-01-08,33.5
2014-01-09,35.0
2014-01-10,34.0
2014-01-12,33.5
2014-01-13,33.5
2014-01-14,31.0
2014-01-16,31.0
2014-01-17,31.0
2014-01-19,29.5
2014-01-20,29.5
2014-01-21,29.5
2014-01-22,29.5
2014-01-23,29.5
2014-01-24,29.5
2014-01-26,29.5
2014-01-27,29.5
2014-01-28,29.5
2014-01-29,29.5
2014-02-02,28.0
2014-02-03,28.0
2014-02-04,27.5
2014-02-05,27.5
2014-02-06,27.5
2014-02-07,27.5
2014-02-08,31.0
2014-02-09,27.5
2014-02-10,27.5
2014-02-11,26.5
2014-02-12,26.5
2014-02-13,25.5
2014-02-14,24.5
2014-02-16,23.0
2014-02-17,23.0
2014-02-18,23.0
2014-02-20,24.5
2014-02-21,25.5
2014-02-23,26.5
2014-02-24,27.0
2014-02-25,28.5
2014-02-26,28.5
2014-02-28,29.5
2014-03-03,29.5
2014-03-05,29.0
2014-03-06,28.5
2014-03-07,28.5
2014-03-09,28.5
2014-03-10,28.5
2014-03-11,29.0
2014-03-12,29.5
2014-03-13,29.5
2014-03-14,29.5
2014-03-17,29.5
2014-03-18,29.5
2014-03-19,28.5
2014-03-20,29.0
2014-03-21,29.5
2014-03-23,28.5
2014-03-24,27.5
2014-03-25,27.5
2014-03-26,27.5
2014-03-27,27.5
2014-03-28,26.5
2014-03-31,26.5
2014-04-01,26.5
2014-04-02,28.0
2014-04-03,28.0
2014-04-04,28.0
2014-04-06,29.0
2014-04-07,29.0
2014-04-09,28.5
2014-04-10,28.5
2014-04-11,28.5
2014-04-13,27.5
2014-04-15,27.5
2014-04-16,28.0
2014-04-17,27.5
2014-04-18,27.5
2014-04-20,27.5
2014-04-21,27.5
2014-04-22,29.0
2014-04-23,29.0
2014-04-25,30.5
2014-04-27,32.5
2014-04-28,30.5
2014-04-29,30.5
2014-04-30,29.5
2014-05-02,28.5
2014-05-04,28.5
2014-05-05,29.0
2014-05-06,29.0
2014-05-07,28.5
2014-05-08,29.5
2014-05-09,29.0
2014-05-11,28.5
